locale,audio_id,provider,model,num_segments,processing_time_s,WER,CER,MER,WIL,WIP,S,S_%,D,D_%,I,I_%,SemanticSim,LevenshteinSim,Language,Cohort,Sub_Cohort,Duration_mins,Duration_Cat,Gender_Type,Region,Age_Group,Overlap,Gap,Conv_Density,S1_State,S2_State,Total_Gap_s,Total_Overlap_s
es-AR,Latam_SPA_AR_065,gemini_pro,gemini-2.5-pro,112,103.616,5.66%,0.0278,0.0561,0.078,0.922,36,2.2,43,2.7,12,0.7,0.993,0.9722,Spanish,Spanish,Argentinian Spanish,11.08,Medium,Unknown,Buenos Aires,Unknown,No Overlap,Medium,Medium,Buenos Aires,CABA,93,0
vi-VN,DungQuang_30_1500,gemini_pro,gemini-2.5-pro,26,92.566,5.65%,0.0227,0.0563,0.1049,0.8951,142,5.1,6,0.2,8,0.3,0.9692,0.9773,Vietnamese,Vietnamese,Vietnamese,15,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,6.3,0
pt-BR,Latam_POR_BR_300,aws_transcribe,aws-transcribe,82,76.586,5.55%,0.0235,0.0552,0.0962,0.9038,76,4.3,13,0.7,9,0.5,0.9972,0.9765,Portuguese,Portuguese,Brazilian Portuguese,16.4,Medium,Unknown,Jacareí,Unknown,No Overlap,Medium,Low,Jacareí,Jacareí,67,0
es-AR,Latam_SPA_AR_009,deepgram,nova-3,267,14.079,5.46%,0.0323,0.0544,0.0729,0.9271,60,1.9,103,3.2,11,0.3,0.9882,0.9677,Spanish,Spanish,Argentinian Spanish,20.27,Long,Unknown,Buenos aires,Unknown,No Overlap,Medium,Medium,Buenos aires,El bolson,106,0
es-AR,Latam_SPA_AR_065,gemini_flash,gemini-2.5-flash,93,65.766,5.41%,0.0255,0.0537,0.0767,0.9233,38,2.4,38,2.4,11,0.7,0.9969,0.9745,Spanish,Spanish,Argentinian Spanish,11.08,Medium,Unknown,Buenos Aires,Unknown,No Overlap,Medium,Medium,Buenos Aires,CABA,93,0
pt-BR,Latam_POR_BR_208,aws_transcribe,aws-transcribe,16,61.284,5.39%,0.023,0.0532,0.0853,0.9147,23,3.3,6,0.9,8,1.2,0.9916,0.977,Portuguese,Portuguese,Brazilian Portuguese,10.2,Medium,Unknown,Jacareí,Unknown,No Overlap,High,Low,Jacareí,Jacareí,290,0
es-PE,Latam_SPA_PE_057,gemini_pro,gemini-2.5-pro,92,115.647,5.38%,0.0294,0.0535,0.0754,0.9246,43,2.2,46,2.4,14,0.7,0.9964,0.9706,Spanish,Spanish,Peruvian Spanish,20.17,Long,Unknown,Lima,Unknown,No Overlap,High,Medium,Lima,LIMA,240,0
vi-VN,DungQuang_30_1500,soniox,stt-async-v4,1,64.131,5.36%,0.0218,0.0534,0.0987,0.9013,132,4.8,5,0.2,11,0.4,0.9752,0.9782,Vietnamese,Vietnamese,Vietnamese,15,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,6.3,0
es-PE,Latam_SPA_PE_035,deepgram,nova-3,272,11.836,5.34%,0.0317,0.0532,0.064,0.936,20,1.1,74,4,5,0.3,0.9882,0.9683,Spanish,Spanish,Peruvian Spanish,15.43,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,São Paulo,121,0
es-VE,Latam_SPA_VE_028,assemblyai,universal,32,22.931,5.21%,0.0297,0.052,0.0758,0.9242,37,2.4,40,2.6,2,0.1,0.9954,0.9703,Spanish,Spanish,Venezuelan Spanish,10.2,Medium,Unknown,GUAYANA,Unknown,No Overlap,Low,Medium,GUAYANA,Puerto ordaz,53,0
