locale,audio_id,provider,model,num_segments,processing_time_s,WER,CER,MER,WIL,WIP,S,S_%,D,D_%,I,I_%,SemanticSim,LevenshteinSim,Language,Cohort,Sub_Cohort,Duration_mins,Duration_Cat,Gender_Type,Region,Age_Group,Overlap,Gap,Conv_Density,S1_State,S2_State,Total_Gap_s,Total_Overlap_s
pt-BR,Latam_POR_BR_217,elevenlabs,scribe_v2,211,56.432,0.36%,0.0015,0.0036,0.0059,0.9941,7,0.2,2,0.1,2,0.1,1,0.9985,Portuguese,Portuguese,Brazilian Portuguese,15.17,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Low,High,Rio de Janeiro,Florianópolis,56,0
pt-BR,Latam_POR_BR_145,elevenlabs,scribe_v2,146,33.591,0.35%,0.002,0.0035,0.0052,0.9948,2,0.2,1,0.1,1,0.1,1,0.998,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,Mogi das Cruzes,Unknown,No Overlap,Medium,Medium,Mogi das Cruzes,Rio Claro,148,0
pt-BR,Latam_POR_BR_300,elevenlabs,scribe_v2,62,34.442,0.34%,0.0018,0.0034,0.0056,0.9944,4,0.2,0,0,2,0.1,1,0.9982,Portuguese,Portuguese,Brazilian Portuguese,16.4,Medium,Unknown,Jacareí,Unknown,No Overlap,Medium,Low,Jacareí,Jacareí,67,0
es-VE,Latam_SPA_VE_004,elevenlabs,scribe_v2,80,36.697,0.33%,0.0009,0.0033,0.0052,0.9948,3,0.2,1,0.1,1,0.1,1,0.9991,Spanish,Spanish,Venezuelan Spanish,9.85,Short,Unknown,Isla de margaria,Unknown,No Overlap,Medium,Medium,Isla de margaria,Caracas,76,0
es-AR,Latam_SPA_AR_009,elevenlabs,scribe_v2,64,46.457,0.22%,0.001,0.0022,0.0044,0.9956,7,0.2,0,0,0,0,1,0.999,Spanish,Spanish,Argentinian Spanish,20.27,Long,Unknown,Buenos aires,Unknown,No Overlap,Medium,Medium,Buenos aires,El bolson,106,0
es-AR,Latam_SPA_AR_052,elevenlabs,scribe_v2,74,71.757,0.19%,0.0008,0.0019,0.0037,0.9963,8,0.2,1,0,0,0,1,0.9992,Spanish,Spanish,Argentinian Spanish,30.05,Long,Unknown,Buenos Aires,Unknown,No Overlap,Medium,Medium,Buenos Aires,Buenos aires,143,0
es-VE,Latam_SPA_VE_032,elevenlabs,scribe_v2,144,43.443,0.16%,0.0007,0.0016,0.0027,0.9973,2,0.1,0,0,1,0.1,1,0.9993,Spanish,Spanish,Venezuelan Spanish,10.28,Medium,Unknown,Turmero,Unknown,No Overlap,Medium,High,Turmero,Caracas,84,0
pt-BR,Latam_POR_BR_102,elevenlabs,scribe_v2,57,36.199,0.13%,0.0004,0.0013,0.002,0.998,1,0.1,1,0.1,0,0,1,0.9996,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,são paulo,Unknown,No Overlap,Medium,Medium,são paulo,Guarulhos,66,0
pt-BR,Latam_POR_BR_311,elevenlabs,scribe_v2,25,29.496,0.08%,0.0002,0.0008,0.0017,0.9983,1,0.1,0,0,0,0,0.9984,0.9998,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,Jacareí,Unknown,No Overlap,Low,Low,Jacareí,Jacareí,30,0
es-VE,Latam_SPA_VE_028,elevenlabs,scribe_v2,35,32.767,0.07%,0.0005,0.0007,0.0013,0.9987,1,0.1,0,0,0,0,1,0.9995,Spanish,Spanish,Venezuelan Spanish,10.2,Medium,Unknown,GUAYANA,Unknown,No Overlap,Low,Medium,GUAYANA,Puerto ordaz,53,0
es-AR,Latam_SPA_AR_065,elevenlabs,scribe_v2,114,35.781,0.06%,0.0002,0.0006,0.0012,0.9988,1,0.1,0,0,0,0,1,0.9998,Spanish,Spanish,Argentinian Spanish,11.08,Medium,Unknown,Buenos Aires,Unknown,No Overlap,Medium,Medium,Buenos Aires,CABA,93,0
es-PE,Latam_SPA_PE_057,elevenlabs,scribe_v2,149,42.516,0.05%,0.0005,0.0005,0.001,0.999,1,0.1,0,0,0,0,1,0.9995,Spanish,Spanish,Peruvian Spanish,20.17,Long,Unknown,Lima,Unknown,No Overlap,High,Medium,Lima,LIMA,240,0
es-PE,Latam_SPA_PE_023,elevenlabs,scribe_v2,74,41.781,0.00%,0,0,0,1,0,0,0,0,0,0,1,1,Spanish,Spanish,Peruvian Spanish,15.08,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,Cusco,110,0
es-PE,Latam_SPA_PE_035,elevenlabs,scribe_v2,84,35.994,0.00%,0,0,0,1,0,0,0,0,0,0,1,1,Spanish,Spanish,Peruvian Spanish,15.43,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,São Paulo,121,0
